台灣頻道,#genre#
ESPN 1,http://192.168.0.114:6789/ublive.php?id=1182
ESPN 2,http://192.168.0.114:6789/ublive.php?id=1183
ESPN 2,http://192.168.0.114:6789/ublive.php?id=2789
NBA,http://192.168.0.114:6789/ublive.php?id=2792
NBA TV US,http://192.168.0.114:6789/ublive.php?id=1185
Fox Sport 1,http://192.168.0.114:6789/ublive.php?id=1186
Fox Sport 2,http://192.168.0.114:6789/ublive.php?id=1187
TSN 1,http://192.168.0.114:6789/ublive.php?id=1273
TSN 2,http://192.168.0.114:6789/ublive.php?id=1274
TSN 3,http://192.168.0.114:6789/ublive.php?id=1275
TSN 4,http://192.168.0.114:6789/ublive.php?id=1276
TSN 5,http://192.168.0.114:6789/ublive.php?id=1277
SportNet ON,http://192.168.0.114:6789/ublive.php?id=1278
SportNet One,http://192.168.0.114:6789/ublive.php?id=1279
SportNet World,http://192.168.0.114:6789/ublive.php?id=1280
SportNet 360,http://192.168.0.114:6789/ublive.php?id=1281
NBA CA,http://192.168.0.114:6789/ublive.php?id=1282
E ent,http://192.168.0.114:6789/ublive.php?id=1392
Freesports,http://192.168.0.114:6789/ublive.php?id=1412
BT Sport 2,http://192.168.0.114:6789/ublive.php?id=166
BT Sport 3,http://192.168.0.114:6789/ublive.php?id=167
BT Sport 1,http://192.168.0.114:6789/ublive.php?id=165
Sky Sports 1,http://192.168.0.114:6789/ublive.php?id=172
Sky Sport 2,http://192.168.0.114:6789/ublive.php?id=171
Sky Sports F1,http://192.168.0.114:6789/ublive.php?id=182
Sky Sport 3,http://192.168.0.114:6789/ublive.php?id=183
Sky Sport 4,http://192.168.0.114:6789/ublive.php?id=417
